season	episode	clip	text	label	Video_Link	Modality
S05	E11	463	and you're on the phone.	Joke	https://drive.google.com/file/d/1Nr3Mg-CWjFsPV9KyQw4m_aKVWCfLfQ3e/view	Audio+Text
S05	E19	341	hey, tommy, some guy with no pants just joined the protest.	Inform	https://drive.google.com/file/d/1awaDnCm_HDogfvGcER08uJT4ndv8RKUQ/view	Text
S05	E17	555	bye, jonah.	Leave	https://drive.google.com/file/d/1mcJI3Gf9LpsotbA9Ddk8E72m6f6dX3H2/view	Text
S04	E03	387	these customers are so handsome.	Praise	https://drive.google.com/file/d/1MYoUTXTb7Io-T6hhgAYdXxIu_VaycFQe/view	Text
S05	E14	229	okay, the seating cards are placed.	Arrange	https://drive.google.com/file/d/1V9oCYGUCLJKy6drEW_khRZiFopUARBnU/view	Video+Text
S05	E09	246	jonah, your last order took 33 minutes.	Criticize	https://drive.google.com/file/d/1btU4tZFAzpcXPWjx-z1K4-fp4lrIN-0f/view	Audio+Text
S05	E07	333	green beans are now the normal price.	Inform	https://drive.google.com/file/d/1MX3-BLESPHM2cHmOa1Z_LSWKAh8P4Q_o/view	Text
S06	E04	396	this job is hard enough.	Complain	https://drive.google.com/file/d/1p6SvD1fZqUomVwsY1l-M12jKrqP1lxpH/view	Text
S05	E17	444	why don't we just give them some cash?	Advise	https://drive.google.com/file/d/1lew69DVvkRLHhYKKnpXI-BkojGttY-cI/view	Text
S05	E15	370	i gotta hop on another call, but we'll do this again soon.	Leave	https://drive.google.com/file/d/1uXWIQAO3yBRRDJ3gLGfvRZlrvZy7-IN5/view	Text
S05	E13	193	oh, okay. well, um, i have worked here	Introduce	https://drive.google.com/file/d/1l88hga3nxcX95407Xcs114jWqAlqIsZp/view	Video+Text
S06	E08	54	mom, come on.	Prevent	https://drive.google.com/file/d/1mEFdbHZrS0t7aAaUXvn9PCzve0WqKx3Z/view	
S06	E03	606	oh, i'm sorry.	Apologise	https://drive.google.com/file/d/1VleSzRr10vVywvh7mOnSuZ5NotXGLu9W/view	Text
S05	E10	464	it's a great color.	Praise	https://drive.google.com/file/d/1tSftEdXfVY_SJxC_ULM13F996l3ah-cO/view	Text
S04	E04	435	it's a me, a mario!	Introduce	https://drive.google.com/file/d/1_4kkxT1E3O0FEkxKX1ug41ElIPhcO4TA/view	Text
S06	E06	88	flooding in the attic and the basement.	Inform	https://drive.google.com/file/d/1w8dMhU431Mw479c5ux4YIo_fFVIz526C/view	Audio+Text
S04	E10	467	there's a blank spot where you can write in your name.	Inform	https://drive.google.com/file/d/11W_GVhXF-bFIi8_Bn93mXU3oDqppEd8d/view	Text
S04	E16	287	he's been spotted in the vicinity.	Inform	https://drive.google.com/file/d/1MHqZq_CBdx7u1ikZZpK3SGzy-uxBB2vE/view	Text
S04	E13	290	this card has a frog and a bear kissing each other.	Introduce	https://drive.google.com/file/d/14juN4Mkegd52ukNLFolTPDS7GPCLcfjN/view	Text
S05	E11	338	yes! thank you so much.	Thank	https://drive.google.com/file/d/1lsfEaFWwtu12bXdA78pIS45ByeElIs2h/view	Text
S05	E10	48	i even got a plaque that said,  dad's number one sales boy.	Flaunt	https://drive.google.com/file/d/1pbCJs0JUC_uMySGrmc9Dm7goA-XgBMir/view	Text
S04	E06	509	i just want to apologize.	Apologise	https://drive.google.com/file/d/1n-8OxwD8HoUAGY4o_ecwvCukVpNOKnAj/view	Text
S05	E13	199	no, thank you, justine, for answering the question.	Thank	https://drive.google.com/file/d/1Z6imuqxtqfmu-hl0fTssx-nHtNCX_549/view	Text
S05	E07	119	are you sure you're okay?	Care	https://drive.google.com/file/d/1xw9P0k5gNk7ddvwZkQ46G3Lmq5_kLM9p/view	Text
S05	E08	61	this week, enjoy 20% off	Inform	https://drive.google.com/file/d/1o-LHmYsLLS93Yu1rpfLojfcqp-eyZGG_/view	Text
S06	E04	90	i'm gonna turn this place into the most efficient machine	Inform	https://drive.google.com/file/d/1lh6TCpcc-SAzz_an2XkigfvkX16fLRbh/view	Text
S05	E07	556	turt-turt, we're out of here.	Leave	https://drive.google.com/file/d/1dm45S14oW6OLLFetpofd9IrmI4u2chzJ/view	Text
S05	E10	514	you did it.	Praise	https://drive.google.com/file/d/1YnkUre6_8d-QqAZdFH9Kunuv90cbKL8V/view	Text
S06	E02	464	oh, that's really sweet, actually.	Praise	https://drive.google.com/file/d/1qlR9YqSM71aCs3pCD7mvl1ZeIKsaFgmr/view	Text
S04	E08	101	that's awesome.	Praise	https://drive.google.com/file/d/1pQ3bmK5tZ-Fp0owgJvOo3grfrH1IQ__E/view	Text
S05	E10	3	here, to remind you.	Inform	https://drive.google.com/file/d/1wmR-cL2wQ6XmwGUpRmjtSVZA26kdJOHM/view	Text
S04	E05	106	oh, and honey, watch out for the bird.	Care	https://drive.google.com/file/d/1DXdJuJe3Qxkeo374RCa6QhcfFW4ozVHt/view	Audio+Text
S05	E10	386	it's not your fault that you don't get the ins and outs	Comfort	https://drive.google.com/file/d/1dkwrIKiWeOP7WTLBsKFCTyytUwGWll9u/view	Text
S05	E14	427	all right, i'll be back in a few.	Leave	https://drive.google.com/file/d/1ruhdf99wK1Z6hkqac917_jwdogVnFYAc/view	Text
S04	E17	284	thank you for those kind words, jonah.	Thank	https://drive.google.com/file/d/1zSjPHup9D5C8vxfv43LY9Gz1bIY76BkC/view	Text
S04	E04	307	you are a real hero, you know that?	Praise	https://drive.google.com/file/d/1llFexFyHFs-dQG1cjHmRR6dB4x42j7ld/view	Text
S06	E09	429	but really you were only using me to get to bo!	Criticize	https://drive.google.com/file/d/1dB_r6Z6DY41cBr6kIZ_HKA_VBuBMkKGJ/view	Text
S04	E01	198	oh. that's cool.	Praise	https://drive.google.com/file/d/1t8_CRITQ4x8WgTx1LrLNXDDz7k2VIvXL/view	Text
S05	E08	315	okay, sir, i'm sorry.	Apologise	https://drive.google.com/file/d/1C0_m8GMm8eRe_GTaj-Skp4CVbuBsiIFi/view	Text
S05	E13	274	well, uh, marcus, that is all very correct.	Agree	https://drive.google.com/file/d/1RhAPYnVQEwNfMsE80-VoWJTK09DDpW8g/view	Text
S04	E14	148	glenn, it's--it's going to be okay.	Comfort	https://drive.google.com/file/d/1krg3Z4z19_XUv2xNLqzx58tY77LB69-w/view	Text
S05	E15	343	sorry, you just said that. sorry, thank you.	Apologise	https://drive.google.com/file/d/1Wsh8fn8lwhJaUMbXLReBd9xQudL4ou06/view	Text
S06	E08	506	did i miss a meeting? sorry.	Apologise	https://drive.google.com/file/d/1Elk7DAP6lBLebVXoLfmcdiezOp_ABd73/view	Text
S05	E14	176	my job is keeping the bride safe.	Inform	https://drive.google.com/file/d/17abe8kSv8RW0lMYrasL5oqPyznFPeMWO/view	Text
S05	E20	274	go ahead. don't worry, i've--i've--	Comfort	https://drive.google.com/file/d/1lmmrkPdLTQkndceMc9i6xSocSwin6Z2T/view	Text
S06	E03	498	for instance, i think we should stagger our shift start times	Advise	https://drive.google.com/file/d/1OeOESJfUYrlkf6JJFaV19LokzEjNoVVq/view	Text
S04	E08	374	he wouldn't have either, so--oh, this is a pickle.	Complain	https://drive.google.com/file/d/1oPpZnCB9eifTSW8TPb7QUw_YFkl7jTXx/view	Text
S05	E13	377	sandra, block her with your body!	Arrange	https://drive.google.com/file/d/18QBD4UyL62sLDoHnmOaODiGzPAEH6yTC/view	Text
S05	E06	15	on whatever dumb metaphor his costume's supposed to be.	Taunt	https://drive.google.com/file/d/1nj1mWUiKBxCiQWLWeAPVV5xEgYyfKZy0/view	Text
S06	E05	74	yeah, you know, this is actually exactly	Agree	https://drive.google.com/file/d/1WAtvAqbzqKOKSCmxaZzlGYnwdbYsLXZ1/view	Text
S05	E07	297	yep.	Agree	https://drive.google.com/file/d/1EPKAR4HKWW6HhTYVEdY4VEztxQ9cHTKJ/view	Text
S05	E09	290	hey, sweetie. hey, garrett.	Greet	https://drive.google.com/file/d/1M36qTKJwZxDljxipoToY9lj028-7mrW4/view	Text
S05	E10	449	yeah, it's too bad.	Complain	https://drive.google.com/file/d/1xGIPlzaerzywYtn885PapDrI9IB_KhdD/view	Text
S06	E02	478	well, it's still very cool.	Praise	https://drive.google.com/file/d/1Kh8rHKRH3CCbMoFJGYzD8BwxXFkedjUU/view	Text
S05	E21	516	mom, stop.	Prevent	https://drive.google.com/file/d/1e8sMHO-6dN69JiLxUcwIdc9MeogBE8ZT/view	Text
S05	E09	198	he seems super cool.	Praise	https://drive.google.com/file/d/1EUIhfJGKHzRgjS4xCYBevBgshE9FE_Ac/view	Text
S05	E16	575	well, i'm gonna go do something else then.	Leave	https://drive.google.com/file/d/1TRdtxmvbql_0vUWBr17uzH-RsP0YcWvD/view	Text
S05	E14	156	get me a drink!	Ask for help	https://drive.google.com/file/d/157N9_M1fiuAWUgUpP1COnXQeNeMxrZXc/view	Text
S05	E15	108	hey!	Greet	https://drive.google.com/file/d/1XjyUZRYriBnKc_UV4okGieRIjM5DXRJF/view	Text
S05	E11	93	garrett, do you mind if i use your phone?	Ask for help	https://drive.google.com/file/d/1Td17-MQx1JKJpDY4Wh8ndiU0bFSjAv_f/view	Text
S04	E16	331	the, uh, easter decorations all look really great.	Praise	https://drive.google.com/file/d/1yLotUbvkyP0mg0UKcQ_n6CGuxyWFGQ0g/view	Text
S06	E04	15	ah, yeah, that makes sense.	Agree	https://drive.google.com/file/d/1TtWDDMD4Gn0u0uSyjrVvkjeEivs8qHZY/view	Text
S05	E19	547	this guy's driving away all my business, and you know how?	Criticize	https://drive.google.com/file/d/1MYlqFgcOTWq3JpOQYfuLyMKNdZbfJIuo/view	Video+Text
S04	E03	82	should we get a scented candle for our nightstand?	Advise	https://drive.google.com/file/d/1kTjFDwGZX8EzU1B0X1u1xT2Iy20H3nO0/view	Text
S05	E14	59	no rush. no rush at all.	Comfort	https://drive.google.com/file/d/1xHRaOYof3SyGkvcheJoicCI-kZtrCoG9/view	Audio+Video+Text
S04	E14	195	laurie neustadt, you are in violation of rule 17-b of cloud 9 hiring policy.	Inform	https://drive.google.com/file/d/1H_BMO2oRPYhPFpmAcuZWKZ9D2l6jNndl/view	Text
S05	E06	138	look, it's... it's almost done. you don't have to worry.	Comfort	https://drive.google.com/file/d/1KDvVOwFNTBNh-il7iweO5WxDxon81cxB/view	Text
S05	E11	503	what's wrong with your head?	Care	https://drive.google.com/file/d/1gPrnj2Bd7h7vXtDUw7fa6utU7dD98O1G/view	Text
S05	E13	25	the time difference with ghana is so tricky.	Complain	https://drive.google.com/file/d/1J-_TpoNxDLfmuosxQ0aKIITgi-dJCNyi/view	Text
S05	E12	449	let me try this, all right?	Ask for help	https://drive.google.com/file/d/1VEnjTyLfL3sdDCVL3msF7J7ogU1fflOg/view	Video+Text
S05	E13	248	so--so put it all back, and make it bigger.	Arrange	https://drive.google.com/file/d/1rEXSSDTKzvEGx-rxxNJ7PIggCSBv-vKt/view	Text
S06	E01	426	yes, i'm so sorry.	Apologise	https://drive.google.com/file/d/1Kl75vUPl8RAiZCDLYxMoOVoRGlPx9Tmk/view	Text
S05	E21	348	need some glasses for your ears now too, old man?	Taunt	https://drive.google.com/file/d/1UfHXAc-ev8Pd1lY514PvXkA023lRk3zy/view	Audio+Video+Text
S06	E03	308	thank you, marcus.	Thank	https://drive.google.com/file/d/1U7PPRkbf8vi7XWeI-xOiHApJeM3cbjIs/view	Text
S05	E11	514	i got tired of all the guff.	Complain	https://drive.google.com/file/d/14Hd9h7HI9Ab_0EgNkW-a8U1BcVo9eD1o/view	Text
S05	E14	117	but then we just did a bunch of whip-its in the dj's van, and it was great.	Praise	https://drive.google.com/file/d/19EZokEp1tpBt-rnqFF678eQ7Q-lYRa1n/view	Text
S04	E11	184	sandra! bathroom duty!	Arrange	https://drive.google.com/file/d/1qzt5Yyx-DjEAjgrFpa16u51O91vdbZ9e/view	Audio+Text
S05	E08	414	the point is that this guy is a jerk	Criticize	https://drive.google.com/file/d/1_zDiOQdMh52mnnaJ1z9KPTi3RYilGQDH/view	Text
S05	E08	60	attention, cloud 9 shoppers	Inform	https://drive.google.com/file/d/1pN3s7ePb_nsm3OZqAj6XIIf-scTRwsCi/view	Text
S04	E07	429	you are grossly incompetent and unpleasant to be around	Criticize	https://drive.google.com/file/d/1ZZM2ozqINss2CJqFtEpS50LzRKd-zu10/view	Text
S05	E08	316	it's just one gift card per customer.	Inform	https://drive.google.com/file/d/1XwBEfOLelLOjQYkq_rRnUejktY8j1ZfB/view	Text
S04	E10	145	and you got that from pants?	Joke	https://drive.google.com/file/d/1uBYDEb2zHjI0Mn1vdp4g8TcdifXJfaxx/view	Audio+Video+Text
S04	E14	77	it's really nice.	Praise	https://drive.google.com/file/d/1Lus552smtyub6kQMdoCLXdLJIxXpUSHA/view	Text
S05	E15	453	i think i voted wrong!	Complain	https://drive.google.com/file/d/1iFHfwaowYaNAZcv1wGDgvE4Km7p4vVyb/view	Text
S05	E16	394	maybe we should do another lap around the park?	Advise	https://drive.google.com/file/d/1vEs4UuoUDcc9rMmhPVkfsE0vEtWZiO8N/view	Text
S05	E09	465	uh, sorry. i just got another one.	Apologise	https://drive.google.com/file/d/1XF5xnOT2iFqGyGuToQsjtpFkTdUM8Kgu/view	Text
S05	E16	293	dina, you can't just text me something like that.	Criticize	https://drive.google.com/file/d/1RYft27TKGA24-z9ia4w9ynDjWidxwhHU/view	Text
S04	E16	453	yeah, amy was just the one sitting watching us in the dark without our consent.	Criticize	https://drive.google.com/file/d/1v-DIonLm3T2oZgW-D6vIZXNnjEl40uWL/view	Audio+Text
S05	E02	24	absolutely not.	Oppose	https://drive.google.com/file/d/1Eq1voth3hWmPoumT5Ckb0e50giZ1dDrc/view	Text
S05	E11	249	liar.	Criticize	https://drive.google.com/file/d/1LBv2dcK9Z3xvrGBlJtLU4US7VtzhlGPy/view	Text
S04	E16	369	i felt so violated.	Complain	https://drive.google.com/file/d/1wPgHaH_lNyxyURzDvHAEZhvtH17qgE3g/view	Text
S04	E04	101	you're like one of those monks in tibet.	Joke	https://drive.google.com/file/d/19OOeWvYn6IzZRxWuUxmjH_Hho-ZmXQck/view	Audio+Video+Text
S05	E13	89	um, it's the display for the new zephra products.	Introduce	https://drive.google.com/file/d/1yaCDyNlq-VRXqsLOfHIAByinM_u5nmiS/view	Text
S06	E03	139	right, but we could just buy more walkies.	Advise	https://drive.google.com/file/d/1Dt1eMreNtGvfdpbNorgTjzRb0R8_GSGA/view	Text
S05	E12	86	hey, glenn, how you holding up?	Care	https://drive.google.com/file/d/168Fqmg_kU_rrZ4hYhuuiywxGqSJ-at-x/view	Text
S05	E07	603	so maybe marcus could join us?	Advise	https://drive.google.com/file/d/1iOlFIa2eBtJu_EggzFC7hVGXTgqJCEpw/view	Text
S04	E13	461	what is wrong with you?	Care	https://drive.google.com/file/d/14NHLTgi5faILs_92K-ZuIlJuGyyHWjE7/view	Audio+Video+Text
S04	E04	484	thanks. i like yours, too.	Thank	https://drive.google.com/file/d/1yf9ti9QZiGuQs-NiWU5buxNVODJlb8bL/view	Text
S05	E08	239	molly, hand these out, please.	Arrange	https://drive.google.com/file/d/1b7DHQYJ30oyFWMM-Mdx-Vte_a62cD85H/view	Text
S05	E11	440	thank you.	Thank	https://drive.google.com/file/d/1gH3lFxsav755jFNBoD3iodZiB2tcLx8R/view	Text
S05	E16	248	i'm so fricking cold.	Complain	https://drive.google.com/file/d/1Jm_ee6VVycEC74SAGXgflJG_7HjA6nzI/view	Text
S04	E17	59	yeah, you guys, you're both so--so beautiful.	Praise	https://drive.google.com/file/d/1ULmvM-WmHRkR9w4D6p5bso_U13rmr4aX/view	Text
S05	E12	81	aww. yeah, maybe you should reconnect before it's too late.	Advise	https://drive.google.com/file/d/1jML7mWisPtVPm2qqbzsqeLAATBW2M70P/view	Text
S04	E06	521	thank you.	Thank	https://drive.google.com/file/d/1wnWnjxo_yNSg__jfy8WbYEUnmxrxUqfw/view	Text
S05	E15	3	zephra has sent us a little break room upgrade	Inform	https://drive.google.com/file/d/1UWfbsBWuLaVPZkIx8YDy6n0l_CtN_1fF/view	Text
S06	E10	392	hmm. damn. i really thought we were vibing.	Complain	https://drive.google.com/file/d/1GVv1hT2jSw24sXwIwBvgcSiVgpJERLrH/view	Video+Text
S04	E16	180	but instead, he mocks me behind my back.	Complain	https://drive.google.com/file/d/1bPkXS4RQSiL-1cb4CEVhtatyt3zscknG/view	Text
S05	E07	161	listen up, scrodes.	Inform	https://drive.google.com/file/d/1h0dBy5JZygUmfoMoPPhVmaNhDBnfRrTg/view	Video+Text
S05	E09	440	yeah, yeah, you're good. you got this.	Praise	https://drive.google.com/file/d/1rnEdAUSUoOhr2C6HTRjFfzqT3J4sis8t/view	Text
S05	E18	321	just--come on, jonah. please do the voice.	Ask for help	https://drive.google.com/file/d/1ZS44-AQn8sOOG5jvjO7OTLMU0r5Q4mOe/view	Video+Text
S05	E08	150	hi.	Greet	https://drive.google.com/file/d/1MyKi17_S854U1YG1NtmYcCqFsbdK0ClU/view	Text
S05	E14	493	i'm sorry.	Apologise	https://drive.google.com/file/d/1y3e8aci2HX2swqoJZg5l1d2zcNz5S2d8/view	Text
S05	E07	134	good.	Praise	https://drive.google.com/file/d/1GSJMcgnttDmC2iuM6nHVLShCUi0TlMWe/view	Text
S04	E16	568	that's how filipinos celebrate easter.	Introduce	https://drive.google.com/file/d/1jXXz7MZqTk-eYQB9MBK0uEka6d0pQIah/view	Text
S05	E08	489	glenn, take this down. sandra, keep going.	Arrange	https://drive.google.com/file/d/1LIKGq4BCuj93CPERpXGVzofpkY-FUWt9/view	Text
S06	E03	4	i'm taking over for amy, and--	Inform	https://drive.google.com/file/d/17VDV1e2RIi8x5ueWLSan_A_1Q930R8PD/view	Text
S05	E12	181	and i just wanted to tell you that dina... passed away.	Inform	https://drive.google.com/file/d/1m0GY2ECQSE6Y2YD4XkTASgzKn6MTj-4_/view	Text
S04	E16	510	i think i might be going crazy.	Complain	https://drive.google.com/file/d/18Z319BMuD6B2eDD_myLUVt4pZYvdMOD3/view	Text
S06	E01	366	anti-looting procedures.	Introduce	https://drive.google.com/file/d/1YueoDFYuuuzuAGoe05C8acfYnct_Tkbk/view	Video+Text
S05	E15	527	i'm picking you up at 5:00 a.m. tomorrow	Inform	https://drive.google.com/file/d/1QYRvylpOziVbe1MPAj-hY1rcQ1cGI0lj/view	Text
S05	E17	446	glenn, don't worry about it.	Comfort	https://drive.google.com/file/d/1VAJV4z852wVkIsfOekGsKzJ9NNyerXtE/view	Text
S05	E10	2	that's important- and holiday pay.	Inform	https://drive.google.com/file/d/11MgLiteCVfR7swSVeOcRokwRRo-PQXu7/view	Text
S04	E05	197	oh, boy. mr. hilarious at work.	Joke	https://drive.google.com/file/d/1tontK2cmLGOoGGEnhVrcg28wRUDr_HDF/view	Audio+Text
S04	E01	77	these are all excellent ideas, thank you.	Praise	https://drive.google.com/file/d/1VZBhpbjbTrHbfHRiJNhw8jVVdT1EnHZ8/view	Audio+Video+Text
S06	E09	527	havarti, great cheese on a sandwich	Introduce	https://drive.google.com/file/d/1hAq9OzyOGZXihz_kR1V49TRwcC1R9qzO/view	Audio+Video+Text
S05	E15	83	hey.	Greet	https://drive.google.com/file/d/1XF6HuAX0-wYoSYnzHnDzirngeDM8Wlo-/view	Text
S05	E19	46	anyway, how's it going? have you raised the wage yet?	Care	https://drive.google.com/file/d/1_yKv-k1Vc5BMQlErGk2DZHhM2BgdumaV/view	Text
S05	E21	424	that's great.	Praise	https://drive.google.com/file/d/1ZArO17geFpe0VJAyqBG4D2B9ckohsjHg/view	Text
S05	E15	182	yeah.	Agree	https://drive.google.com/file/d/12VY4aCnq8cKeoxe51XokXifQJZkn5tvH/view	Text
S05	E20	416	hey.	Greet	https://drive.google.com/file/d/1LQ88fN7Gy1tXHBFQqyMOvCz-w2Oh8IPD/view	Text
S06	E03	220	so we're gonna let the people decide.	Inform	https://drive.google.com/file/d/1vlHWOqtC79X9PgGsXVhqfaNJYSLd1n5r/view	Text
S04	E11	144	come on, don't take it personally.	Comfort	https://drive.google.com/file/d/1xU_toYlVzW58NRARluZWMlFT8vsh8jvI/view	Text
S05	E16	494	again, we are so, so sorry.	Apologise	https://drive.google.com/file/d/1Tb2L5E62elEq5JLM8XR0_1Vg8zzRiJX0/view	Text
S04	E16	391	running hard, water bad.	Joke	https://drive.google.com/file/d/1_697PeQfo5jU2ty9SeqNUcG8zv0NW6Jl/view	Video
