season	episode	clip	text	label	Video_Link	Modality
S04	E05	206	you are really cooking up something good.	Praise	https://drive.google.com/file/d/16dMfVD2AK_t3OJVmZFnqOFn47_7qpZ3A/view	Text
S05	E19	275	i haven't worked in three months. my alimony is late. my ex-wife's lawyers are getting very threatening.	Complain	https://drive.google.com/file/d/1ikebGy2qhsVluSEH3hBf6gvGTFzh3z8D/view	Text
S05	E09	297	maybe you could help jerry set this up	Advise	https://drive.google.com/file/d/1BS3vqptmMoymIBg8Z0viwhz1IJvlZO91/view	Text
S04	E01	265	i'm gonna go back to work now	Leave	https://drive.google.com/file/d/17RGQuk29rkp45c9vq_797i0cJnDH8Hla/view	Text
S05	E07	61	okay, well, maya can't fire you	Comfort	https://drive.google.com/file/d/1RU2iNDLnbqFh1hhAmloQ5GipKCWNqgch/view	Audio+Video+Text
S06	E07	502	you're right.	Agree	https://drive.google.com/file/d/1y7mj-tGYF6sG4Yxy-A5zoO1Xt4g9zV8X/view	Text
S04	E03	358	that's interesting.	Praise	https://drive.google.com/file/d/1qOgsiK9K5mT9ldDrYjSdzD6LobEVidT7/view	Text
S05	E07	476	you don't have to keep pretending to be an employee.	Advise	https://drive.google.com/file/d/1owSyZlW9D5EDx-ptfFmYIwbGa1exf3EG/view	Audio+Video+Text
S06	E07	3	but don't be intimidated.	Comfort	https://drive.google.com/file/d/13TghcJ70XD7pfhu7ejQYgRebKoxsBPpf/view	Text
S04	E08	125	mateo, go take over for sayid.	Arrange	https://drive.google.com/file/d/1WbmjFh6ldxyjNDdvCCtCCH-N92V9xlsW/view	Text
S04	E14	81	but one day, i got it to do 25.	Flaunt	https://drive.google.com/file/d/1lMrUFA8-birWOvquApofFYy3VbF8UzvE/view	Text
S04	E16	389	me amy. me prep for 5k.	Joke	https://drive.google.com/file/d/1nMjup3Qyh0PK0vuPWkQTKBttGFhEvPS8/view	Video
S04	E07	368	see? this is easy for me.	Flaunt	https://drive.google.com/file/d/1BRI-6GlxRy3zz8eQxyizklu_nIfvM-h1/view	Text
S04	E02	187	oh, i don't see how that could possibly be true.	Complain	https://drive.google.com/file/d/19_Y5iUi6wt5-vPQOpNJh0hmg3E_Lb0DB/view	Video+Text
S05	E19	90	what--what are you doing here?	Care	https://drive.google.com/file/d/1dJLKDSlU9FfBJCkgu41bszOZuMLSFQW2/view	Text
S05	E18	314	it's really cute.	Praise	https://drive.google.com/file/d/1r0vI3pc-Rapa5MXXY85e3OQPr4Lcp0TU/view	Text
S04	E03	186	god, i hate that guy.	Complain	https://drive.google.com/file/d/1Ymtgn1krRHew6AsX7voSAlyoVBB9eGIv/view	Text
S05	E11	185	that's a cash register.	Introduce	https://drive.google.com/file/d/13fEOf4f5qxykL8BSle9aWspk2EtK-p-j/view	Text
S05	E09	141	all right.	Leave	https://drive.google.com/file/d/1VVgqnmduz0sNoT3K-Oz6yb4cyHZIQ_T8/view	Video
S05	E17	52	garrett, you're only giving packages to people with wristbands.	Arrange	https://drive.google.com/file/d/1TyrHSIBL7fDxYdfCo185LLxhd5PRGBcI/view	Video+Text
S06	E04	64	you're taking a trip to bruise town.	Arrange	https://drive.google.com/file/d/1eBOL4eCF_Iubnj5fa3aYCN2nKzk5xZjy/view	Text
S05	E14	261	here, take my card. there's a link to the web--	Introduce	https://drive.google.com/file/d/11rlVehgDwXvXPJlTADHe2_Tb3SypM0Yo/view	Video
S05	E19	348	i know. i figured. thank you.	Thank	https://drive.google.com/file/d/1byg4Jpt19z4c00Tbs-07rS2ZIKxi4Ipm/view	Text
S05	E07	144	take a bath with the dogs later.	Arrange	https://drive.google.com/file/d/1nPkWwLuG7-YmtXED9qNzh8jP5iX0y3Jx/view	Text
S05	E08	7	i am in the middle of something, dummy.	Criticize	https://drive.google.com/file/d/1__-1pQzWGhIKh4o9HP4H-Sx7mbh7ZcMM/view	Audio+Video+Text
S04	E17	494	um, uh, i'm sorry.	Apologise	https://drive.google.com/file/d/1lCo9Ht8aJEJMkhvgKx_zACL6v8wXwqAi/view	Text
S05	E13	7	we are switching over electronics from supercloud to the new zephra products.	Inform	https://drive.google.com/file/d/1yOxF48aFpXDoMBxk8wGz8tYUnhdzGHQj/view	Text
S04	E11	312	but i logged 8,000 steps.	Flaunt	https://drive.google.com/file/d/1vN498O1x8r8Dqb8rjXU2xOfoHDI142ih/view	Text
S04	E03	232	you are a loud-mouthed, domineering, crazy little--	Taunt	https://drive.google.com/file/d/1cDrc2F86R4WWroCYs6buaPOCi8Hs7PaA/view	Audio+Video+Text
S05	E08	322	you win it in a raffle or something?	Taunt	https://drive.google.com/file/d/1o9za1AA5tUBeZLKPqHMsrtGsuNFoXfIz/view	Audio+Video+Text
S05	E08	555	you look way too happy.	Taunt	https://drive.google.com/file/d/1IDZq04xvG0Cdo0yypBqqKtNzRchJUr9P/view	Text
S04	E01	416	but you're making it pretty tough.	Criticize	https://drive.google.com/file/d/1BczWUrjBoQKOtACB-tdoUAYjAOW2ly9O/view	Text
S04	E06	299	oh, i'm sorry.	Apologise	https://drive.google.com/file/d/15t7mmLPpy_BPhugwkusrev-RE73a_uRn/view	Text
S04	E11	194	well, i'd like to think i've matured over the years.	Flaunt	https://drive.google.com/file/d/1Ra1MMlGtWzi34epHwtuHfB2Q7DhSAJnL/view	Text
S05	E07	483	grab a pair of gloves and head over.	Arrange	https://drive.google.com/file/d/1N1gFyujFLIA7HJYp8R1EKK5jjIy3MUWq/view	Text
S05	E10	91	really, it's amazing work that you're doing.	Praise	https://drive.google.com/file/d/1D_NDnEIVIILeMnhhhP66-h-qcIlIEiSi/view	Text
S05	E06	85	oh, my god, they're so cute when they bicker.	Praise	https://drive.google.com/file/d/1zQnSNhxeM_Mz8xNsAqaaMqe8sAayELfc/view	Text
S05	E02	25	engagement party is not a maid of honor duty.	Oppose	https://drive.google.com/file/d/1k0ZZEq7cPbkPtc_KcSNgdR-HxLTFN-pj/view	Text
S06	E08	236	feels like i'm buying a gremlin.	Joke	https://drive.google.com/file/d/1DYsLJCJXNOG9VN0jixknZ8xzg_rBBjZn/view	Audio+Text
S04	E07	69	wait, what are you doing? don't--don't put it back.	Prevent	https://drive.google.com/file/d/1f9f_GrJDj9seTqo73HRrKiYf_l9Pozr7/view	Text
S05	E19	123	celine dion tickets go on sale today.	Inform	https://drive.google.com/file/d/11xhaF1Eo1p4KI977795fFTEwsS8HAiJ0/view	Text
S04	E04	169	now i can't tune it out. it doesn't even make sense.	Complain	https://drive.google.com/file/d/1aOSdQs6qi1tnkz0VGKbUz593tPTKG79C/view	Text
S05	E11	449	yeah, it feels kinda good.	Praise	https://drive.google.com/file/d/1hPTVVb-SfAHYSp__LkwARqs6FHZMlglw/view	Text
S06	E03	617	i'm sorry jonah.	Apologise	https://drive.google.com/file/d/1YGTkShbQskEBGQA5wwfY-1ZVmt22NSgA/view	Text
S05	E19	206	how about carol works with you?	Advise	https://drive.google.com/file/d/109SLZVI9kljtev74sm1cu0SmdTjFC7gp/view	Text
S04	E03	98	wow. that's a good run.	Praise	https://drive.google.com/file/d/15SNRI6X3QAnRIOFwlq1isM1_saiW0BCT/view	Text
S05	E13	53	so you're gonna have to find someone yourself to cover.	Advise	https://drive.google.com/file/d/1g0eM71aMYThFN_ssL_FXWBfBs4dBg8vR/view	Text
S04	E02	470	thank you, everyone, for coming to the party.	Thank	https://drive.google.com/file/d/1yER_waL2c6Gs_3hVfF9dbvLpbE4_4CAF/view	Text
S04	E01	99	okay.  sorry, that was a poor choice of words.	Apologise	https://drive.google.com/file/d/1IWqulZtn8TXNp1MHIiMsEMlYM3OZN0K9/view	Text
S05	E11	180	this one's doing stem cell research.	Introduce	https://drive.google.com/file/d/1aH-lqcCzUwe1MlAzLvRdliZbUnLAq-Y7/view	Text
S04	E01	42	or you guys can just use your phones for all that stuff.	Inform	https://drive.google.com/file/d/1w3Znu22WvfdywcvTHfP86_8UTug_Wqgq/view	Video+Audio+Text
S04	E13	481	well, too bad!	Complain	https://drive.google.com/file/d/1barKDNbPlKmNR95kXt1yVDo8u8sxtk70/view	Text
S04	E04	407	let's meet our first contestant, marcus white!	Inform	https://drive.google.com/file/d/13ikK1G7tp0Wa0SpPOHBiXO2jxLzqtJf8/view	Text
S05	E20	427	yes, same. me too.	Agree	https://drive.google.com/file/d/1OzP6zIG_-d6fwyy5c462HFTb6WcOzFms/view	Text
S05	E06	265	yep. she's my cowgirl.	Introduce	https://drive.google.com/file/d/1vQrdZkMrZA_imrXpDnKTIoPZlHbkQ5Nh/view	Text
S05	E09	248	dina, some of these orders are insane.	Complain	https://drive.google.com/file/d/15RtDFamL08pGUkmBFiItyWrJSdosfkWC/view	Text
S05	E10	311	okay, yeah, you're looking good on the trunk side.	Praise	https://drive.google.com/file/d/1Ie8Vas3qTgwqg30vdb0BAS42n51I-2Hu/view	Text
S04	E10	406	well, i only skip work because you're always telling racist jokes.	Complain	https://drive.google.com/file/d/1j41tmrcngqQrVxKl0dNMF5bDtH8U6Wwa/view	Text
S04	E11	450	i got clipped by a kia on the highway, amy!	Complain	https://drive.google.com/file/d/1gUdELVSHvHsh4RRfQh6nED0NR9YdPX9U/view	Text
S05	E17	141	jeff, this is isabel. she works at zephra.	Introduce	https://drive.google.com/file/d/1lRqMZH_UVbcLuR8nOwo4YTKKf5caKV14/view	Text
S06	E01	246	the ink's starting to turn our butts weird colors.	Complain	https://drive.google.com/file/d/1B2vKr4ontvK2QezGVab9AmWscS2NSKnF/view	Text
S05	E13	79	okay, no, no. mateo, no.	Prevent	https://drive.google.com/file/d/1FRt6a7a1yB1Tya4hBJ-vIA8kFtqx0OHd/view	Text
S05	E09	252	i haven't even been able to go on instagram.	Complain	https://drive.google.com/file/d/16pELOQSymS_p-GfPCgR4zueu3pRBA2L9/view	Text
S05	E07	470	can i have some of the house red?	Ask for help	https://drive.google.com/file/d/1j3YvoeF4y4gnamvwsiiyR7KsQIl4oXRh/view	Text
S05	E17	134	hey, hey!	Greet	https://drive.google.com/file/d/18U85lFQ-TYF7hGILxtP_ckqmJ2qIfT3K/view	Text
S04	E09	24	oh, there is no way that i am sending you	Oppose	https://drive.google.com/file/d/1WO-QH36dr9bsyFIiIr90KezOKzfUtAN7/view	Text
S04	E04	469	attention cloud 9 shoppers, i do not have an announcement	Inform	https://drive.google.com/file/d/1XJ_q1eO36AfFF6Bzaz4ZEaQ8VlFDR6rm/view	Text
S05	E09	413	and if you were actually doing the work,  and if you were actually doing the work, you would see how hard it is.	Complain	https://drive.google.com/file/d/16LBbFpYJ1_JEUa-XPQkV_IYOIxBuacOn/view	Text
S05	E07	304	if you help me out and all goes well	Ask for help	https://drive.google.com/file/d/1NvPjIrd1JbXTMfWTcVkxr2dTfGrz4Cty/view	Text
S04	E12	446	yeah, why don't you go stew in softlines?	Advise	https://drive.google.com/file/d/1KZP2SeV66kdUDcfZ55JlPqgTJ1o6RIQ7/view	Text
S05	E14	7	for giving me my first chance	Thank	https://drive.google.com/file/d/1pKC8isDzSYo4Oe_jh07T4UlyPkmfp8aJ/view	Text
S06	E01	114	just pick a conditioner and keep moving.	Arrange	https://drive.google.com/file/d/1ORyax_cOUxC9T1k9pbeXQYRdlqGKCnFN/view	Text
S04	E03	180	oh, so anytime a woman tells you what to do, it's shrieking?	Criticize	https://drive.google.com/file/d/1m5UpY3y1MiIHU3NNVy6iImHDc79blCuR/view	Video+Text
S06	E04	545	ugh, this whole day sucks.	Complain	https://drive.google.com/file/d/1yWGalMMmCKopYZfX5R73bckxW_cdBwqD/view	Text
S05	E09	474	why don't you put on the headset	Advise	https://drive.google.com/file/d/1cKG-Th0L-5abBgIBvzRFiNus7wWvgV5E/view	Text
S05	E02	145	it's not on the list!	Oppose	https://drive.google.com/file/d/1h8t0-yC6r8iLRuPr3v7VIzKCuXmxDiSk/view	Video+Text
S04	E09	277	who would need 12,000 boxes of ice pops?	Complain	https://drive.google.com/file/d/1wuRVU6fuCmiDa1RPuUAwEeSP7i090SFv/view	Text
S04	E07	427	you're fired.	Inform	https://drive.google.com/file/d/1SjhMWz1RcuI5c7a_cUuaXhgv45nzFow0/view	Video+Text
S05	E16	358	why don't you buy the dryer balls?	Advise	https://drive.google.com/file/d/1pTtk-l5UiaYFuBbPDeFHjQRbfD60IKR2/view	Text
S05	E12	128	this is a pyramid scheme.	Complain	https://drive.google.com/file/d/1t6egC4YXRi4Nb7nsH9OfCmf9gVwtq5Kb/view	Video+Text
S06	E01	21	so i'm still gonna be working with you guys.	Inform	https://drive.google.com/file/d/1QKU-i_XMsr2o2aNmb1w7bq5sto6F_66M/view	Text
S05	E17	123	sorry.	Apologise	https://drive.google.com/file/d/1NNWdYWQLMhyYGd21of4rTimDgo72vyf2/view	Text
S05	E17	95	oh, hey, glenn.	Greet	https://drive.google.com/file/d/1t7bIwRGls8pAiy9o62-CcUOVQTKy4x4w/view	Text
S05	E06	101	no, no, no, no, no, no, no! whoa!	Prevent	https://drive.google.com/file/d/1m2N9yegujYeJ8EdbP7l1kLvxQoMDF9jw/view	Text
S04	E14	334	you're the most qualified person here, so...	Praise	https://drive.google.com/file/d/1rMBaZFowxoV_vFsSCYYc3idq1jy1T3Tn/view	Text
S05	E17	221	yeah, sure.	Agree	https://drive.google.com/file/d/1ZmjXB8-sQi9hdjmDmRLybBE6cCukepf1/view	Text
S04	E06	460	i am wearing frozen diapers	Complain	https://drive.google.com/file/d/1UewckMZGtpv507ctTewZdymTHziYRj8h/view	Audio+Text
S05	E13	482	look, mateo never got a work permit.	Inform	https://drive.google.com/file/d/1RFs-o4Bb3wwHLfyVDIszIjVBNj17YMiQ/view	Video+Text
S05	E06	418	amy, you need to go change into leather sandy right now.	Arrange	https://drive.google.com/file/d/1ZTMpcnBikUnWrRLWVtvWwFK42NLGpido/view	Text
S05	E17	160	ah, that sounds amazing!	Praise	https://drive.google.com/file/d/1DSjHKTLQso4yZBthulCY7FlsgxwLc7xI/view	Text
S06	E02	333	i just wanted to say how very proud i, glenn, am of you.	Praise	https://drive.google.com/file/d/1q1-xvRkZc9i-4kg97dMkjn30S2eDT0NY/view	Text
S05	E08	126	you can donate to our toy drive.	Advise	https://drive.google.com/file/d/1SE7KxktCjOeTH7bSQK_SVdhpPLtmoHo9/view	Audio+Text
S06	E02	151	exhausting.	Complain	https://drive.google.com/file/d/1pVuaLhTChFE0_qqo0PjD4B3ZtGIg16jc/view	Text
S04	E06	530	thank you, thank you. my parents will be so proud.	Thank	https://drive.google.com/file/d/1dv-pWi8BMzCSazAXx9JqXLNCQ0kx9lPi/view	Text
S05	E07	419	don't be ashamed.	Comfort	https://drive.google.com/file/d/1KSY3LBve37X3_IFUZXnnRTvWWlgEmwXt/view	Text
S05	E17	406	this is a class c felony.	Criticize	https://drive.google.com/file/d/1teMrATM5FZ3D6mhnVuTyWoR_YKD5z4ut/view	Video+Text
S04	E07	418	look, we just want what's going to make you happy	Comfort	https://drive.google.com/file/d/1eALw1jcjMbWqq4RgqAWJlJOzhOVSztaO/view	Video
S04	E11	85	it lowers your blood pressure and increases your lifespan.	Introduce	https://drive.google.com/file/d/1DzCJ7KXswmWL9mZql4FijAEyg17FFxWY/view	Audio+Text
S04	E13	300	can't you just cover it up?	Advise	https://drive.google.com/file/d/1HleoiF9v6zwZFSGR7TaEACHhG9E4ULGs/view	Text
S05	E15	192	like, cool. that's exciting.	Praise	https://drive.google.com/file/d/1Yu56LdshTgzHeOAK1O4KYc6XzXNzzPQZ/view	Text
S04	E11	42	oh, she probably thinks she's so great	Taunt	https://drive.google.com/file/d/1Ey02O_t3paCpUezwE6OdCI8z-3NyjCgT/view	Audio+Video+Text
S05	E10	216	yeah, thanks. i'm--i'm just browsing today.	Thank	https://drive.google.com/file/d/1lYCFGP70pkweefvl_XTsIYnUPjlUvU4p/view	Text
S06	E10	463	glenn, hey, look, i- i'm sorry.	Apologise	https://drive.google.com/file/d/10eGuoJPAQmrr0aZHkVDoCX7VfKQvMj_2/view	Text
S04	E08	263	why does everyone here start conversations like that?	Complain	https://drive.google.com/file/d/1rk1gf3ugRADRve8QKQ5YI8m4BS4bm2dA/view	Text
S05	E12	51	it's the way of the world. the rich get richer.	Complain	https://drive.google.com/file/d/1bT0EDdy5RI-xrBUb80bMuE3dpr4xDhn8/view	Audio+Video+Text
S05	E10	263	oh, um, amy, i'm so sorry	Apologise	https://drive.google.com/file/d/1ElfCrplGTwQcBhJWrHfelcCAJB4HS2wF/view	Text
S05	E13	471	what? i crushed the interview.	Complain	https://drive.google.com/file/d/12cUaFYYU6aOXCQrX8r4_8S6mWm41yLcv/view	Text
S06	E10	342	why do people think that i'm at fault	Complain	https://drive.google.com/file/d/1_1klpKbjO04FshiXHXx48kypR878SDYm/view	Text
S04	E16	494	sandra, code cottontail.	Inform	https://drive.google.com/file/d/1t8Eh6geLytVjWX-ibW6_v3bYH23xcAL8/view	Video
S05	E16	477	dina, i am sorry that i said nobody likes you.	Apologise	https://drive.google.com/file/d/1FfAJoD0kN3D1MgsPOgJVPxoXWo5QUw9G/view	Text
S06	E01	237	oh, sorry.	Apologise	https://drive.google.com/file/d/1CagJ5qTImEzUf1gcPkt5rqtatC_7VSMt/view	Text
S05	E12	452	hey, dina, your dad's looking for you.	Inform	https://drive.google.com/file/d/1FCtr4VWg4Oequxibj4Pm4dtNvgr4Hb_Q/view	Text
S06	E07	486	what am i gonna tell my parents?	Complain	https://drive.google.com/file/d/10eXXySBDw1lLaaTexVIobLQde_m1T0Ym/view	Video+Text
S05	E13	499	oh, man, that's such a good start.	Praise	https://drive.google.com/file/d/1rcnM4S14w2bSWSjhgh0WyGL-16iFdSu5/view	Text
S05	E07	264	i have zero control over my employees.	Complain	https://drive.google.com/file/d/1PS-GXugfbnSyauvaFHpPYHld_gFtFKpz/view	Text
S05	E08	305	that's great, thank you.	Thank	https://drive.google.com/file/d/1GAxL-uxwP04xDvmopFeFln-r1zVHP1we/view	Text
S05	E20	475	and kelci dumped you because you're a jackass.	Criticize	https://drive.google.com/file/d/1E_niw5XIvEKQAa60Aapz4BztDVU5cY8Q/view	Text
S05	E13	231	look, i'm not saying it like it's a bad thing.	Oppose	https://drive.google.com/file/d/10IYIXxYP91P-QxzpM1FOjGRd50LLAyhH/view	Audio+Video+Text
S05	E07	256	it's not even your fault.	Comfort	https://drive.google.com/file/d/1gsPh3rnB6vEQmZ-y5YJj-bIn4KlrlFAD/view	Text
S04	E01	156	i am doing very well.	Flaunt	https://drive.google.com/file/d/1nKXhcdrQteRWfLogGA-VgGHcd-052S2x/view	Text
S05	E13	99	look, this is the most expensive merch in the store.	Introduce	https://drive.google.com/file/d/172k-ecBACT8eM4LVPW2cJ95XGz4H8fAW/view	Text
S04	E06	390	unfortunately, the last spot has been filled.	Inform	https://drive.google.com/file/d/1eyQdFY-9Cpp-o0DYeEGTyTP4TE7aZNNo/view	Text
S04	E02	406	how about we keep this party train rolling	Advise	https://drive.google.com/file/d/1ePjivdVrC71CiAzlqJI2J94hOUaceIRY/view	Text
S05	E14	350	how's it going?	Care	https://drive.google.com/file/d/1AhTxf6gtEum_ittHKWiqn5xAQK2VRTmc/view	Text
S06	E02	364	that's not fair? i'm blowing my life up for you.	Complain	https://drive.google.com/file/d/16Lksg11fP-XZWjzHzmzKU0eWf0ZLv_Ec/view	Text
S05	E07	167	oh, i thought i saw a manatee on the side of the road.	Joke	https://drive.google.com/file/d/1dcdCc2Z9z_0rWcm7w5UBsWi0-nONuFx9/view	Text
S05	E17	115	sucked up any change.	Leave	https://drive.google.com/file/d/1iJl6JegM3GcwjNP5pW-XG2uqt3dvgRdo/view	
S05	E08	17	hi, i'm mateo liwanag	Introduce	https://drive.google.com/file/d/1fQCNJ6RXKknp-82E7-96WPHhDW--lnM3/view	Text
S05	E08	518	what the hell? you're stealing our toys?	Criticize	https://drive.google.com/file/d/1z70NZtppAZXUby9Iu2fohgurcApWlPaY/view	Text
S04	E01	433	what a stupid waste of a first question.	Complain	https://drive.google.com/file/d/1XxL4X38aCpedwODZ2ZSgBF_d-J5X43e-/view	Text
S04	E02	202	you're a good friend.	Praise	https://drive.google.com/file/d/1jxIc0BEwd9F5vfT0kR9iFwtcVd4f9Keu/view	Text
S05	E21	305	how about everybody's got roller skates	Advise	https://drive.google.com/file/d/14lVHV5H-j9K6BtbN_AF6oVth5I0Se4XR/view	Audio+Video+Text
