Text,ground_label,modality
you're gonna go back and work on that register,Arrange,Text
corned beef and cabbage are 20% off.,Inform,Text
i'm not really that happy with you either.,Criticize,Audio+Video
don't be stingy with the squirts.,Advise,Text+Video+Audio
"don't worry, sandra saw it and she didn't say anything.",Comfort,Text
you guys are the best. i love you all.,Praise,Text
"what? wait, no, no.",Prevent,Text
"hey, how's it going?",Care,Text
yeah. yeah. this is definitely overboard.,Complain,Text
"god, i can't take it!",Complain,Text
"amy, i need to report an employee theft.",Inform,Text
don't worry about it.,Comfort,Text
thank you.,Thank,Text
thanks.,Thank,Text
this lipstick is stay all day,Introduce,Text+Audio
i'm sorry.,Apologise,Text
"i'm gonna check on gerald, see if he's done crying in the men's room.",Taunt,Text+Video+Audio
"yeah, and you wouldn't give me the day off to skype with my boyfriend.",Complain,Audio
"hey, guys. having fun?",Care,Text
"no, you guys don't have to come with me.",Prevent,Text
great. let's get back to work.,Arrange,Audio
"sorry, i got caught up in the moment.",Apologise,Text
she can't stand that i have authority now,Complain,Text+Audio
"i think we should probably hear a few more, uh, female voices.",Advise,Text
"oh, well, thanks.",Thank,Text
you've gone power mad.,Criticize,Text+Audio
i don't even know who you're thinking of.,Complain,Text
"amy, sorry to interrupt",Apologise,Text
why shouldn't we have a debate?,Complain,Audio
"wait, it's- hey, stop... stop!",Prevent,Text
i would give jonah a lap dance in a second,Joke,Text+Video+Audio
"cheyenne, give her the axe.",Arrange,Text
"next order of business,we're going to be holding an employee costume competition today.",Inform,Text
that's past the property line.,Complain,Text+Video+Audio
"bo's mom calls, like, all the time.",Complain,Text
to award the golden vest...,Inform,Text
"no, i'm- i'm gonna make him look good.",Oppose,Text+Video+Audio
"yeah, but i don't think anyone should have that much power.",Oppose,Text+Video+Audio
i 'm just saying that you should tell garrett,Advise,Text
it's a pipe organ.,Introduce,Text
"that's tommy. he's lead organizer, total badass.",Introduce,Text
thank you so much.,Thank,Text
"dina's right, you don't know fashion.",Taunt,Text+Video+Audio
"oh, yeah, she's great.",Praise,Text
this pops  tony danza brand popcorn cartridges only.,Introduce,Text
'cause then i could hit on this bodacious babe.,Joke,Text+Video+Audio
you need to go back up to her and tell her,Arrange,Text+Video+Audio
"oh, hey. dina, what's up?",Care,Text
why are you telling people that i'm  lying like a syrian ?,Criticize,Text
"anyway, zephra also asked me to set up a Video conference",Inform,Text
this is a great debate for another time.,Praise,Text+Video+Audio
"we have, and we want to apologize.",Apologise,Text
we just solved our first business crisis.,Praise,Video
so thank you all so much for my gifts.,Thank,Text
"uh, no, that definitely wasn't me.",Oppose,Text
"carol and justine, i'm moving you to school supplies.",Arrange,Text
but i need you to go empty the rat traps.,Arrange,Text
leading scientist admits earth is flat.,Inform,Text
i really appreciate jerusha watching parker.,Thank,Text+Video+Audio
thanks.,Thank,Text
i am so sorry,Apologise,Text
"jonah, i don't feel you were fair to me--",Criticize,Text
"oh, she is the devil.",Complain,Video
you are bright. your numbers are great.,Praise,Text
"oh, hey, dina.",Greet,Text
"hey, you don't have to be ashamed.",Comfort,Text
"now, i'm gonna be a little busy.",Inform,Text+Video+Audio
and this is the break room.,Introduce,Text
"i was just, um...i'm sorry.",Apologise,Text
it couldn't hurt to shake things up a little bit here.,Advise,Text
maybe st. louis finally has a female serial killer.,Joke,Text
one-  it's a cereal bar!,Introduce,Text
"take one whack, all right?",Arrange,Text+Video+Audio
"look, all i'm saying is that you don't have to worry",Comfort,Text
i am going to sit in traffic for 45 minutes and return this.,Leave,Text+Video+Audio
"amy, why don't you be the manager, and you're gonna talk to cheyenne about her repeated absences.",Arrange,Text
i can just take off.,Leave,Text
"hey, carol. welcome back.",Greet,Text
"come on, it wasn't that bad.",Comfort,Text
"yeah, those babies look great.",Praise,Text
"you knocked over that cone back there, dog--i want a rematch.",Criticize,Audio
"so, girl, how is your day going?",Care,Text
"maybe, instead, we should make them feel",Advise,Text
"okay, it doesn't matter.",Comfort,Text+Video+Audio
"yeah, and i said how mateo's always serving up the tea, like when he told that lost little girl because her mommy was hot trash.",Joke,Text+Video
but you are coming on way too strong,Criticize,Text+Video+Audio
hey! just coming by to say hey.,Greet,Text
i'll make sure to get the rest of those boxes.,Leave,Text+Audio
"no, no, it's- it's fine, it's fine.",Comfort,Text
but i can't forgive myself for leaving you for it.,Apologise,Text+Video+Audio
i'm already three orders behind!,Complain,Text
"sorry, i've just been feeling a little down lately.",Apologise,Text
"i probably should've led with that, but you just kept talking and talking about how great you're doing.",Complain,Text+Video+Audio
this place is crawling with raccoons.,Complain,Text
hey.,Greet,Text
yeah.,Agree,Text
"oh, yes, thank you.",Thank,Text
"yeah. yeah, i would say that.",Agree,Text
"carol, you can probably just go start your shift now.",Inform,Audio
sucks.,Complain,Text
so how's your toast coming?,Care,Text
"well, it affects my work.",Complain,Text
how you doing?,Care,Text
sorry i'm being so insensitive.,Apologise,Text
i just had a reText+Video+Audioy hard year.,Complain,Text
"no, those are yesterday's donuts.",Oppose,Text+Video+Audio
the guy's a monster.,Complain,Video
"mateo, give him his gift card.",Arrange,Text
"corporate is asking us to run everybody through e-verify, and there's a bit of a problem.",Inform,Text
totText+Video+Audioy. sounds great.,Praise,Text
"hey, we have a problem.",Inform,Text
"no, ken, that's my car. that's the managers spot.",Oppose,Text+Video+Audio
foul on the play!,Criticize,Text
please gather in the break room,Inform,Text
let's not use the word  crazy.,Prevent,Text+Video+Audio
then they shouldn't have started talking trash about us.,Complain,Audio
we should just take it from the top.,Advise,Text
"hey, man, don't touch my tummy!",Prevent,Text
thank you for coming.,Thank,Text
"hannah, can you update the sim card on the robot?",Ask for help,Text+Audio
and here's the guy we have to thank.,Introduce,Text
i better go tell her.,Leave,Text
"oh, hey, guys, i don't know if you heard, but sandra's cat died yesterday",Inform,Text
"that's a great idea. oh, my--",Praise,Text
close. they're supercloud step trackers.,Inform,Audio
i think jerry should have ended up with carol!,Advise,Text+Video+Audio
it looked kind of like an inside-out otter.,Joke,Text
"please, i should be thanking you.",Thank,Text
and he's going to be taking over for glenn as manager.,Inform,Text
"i did, that was awesome.",Praise,Text
"sorry, i meant to say that i also have",Apologise,Text
i got a meeting--party.,Leave,Text+Video+Audio
"connie, i love that dress.",Praise,Text
"fast as lightning, but sharper.",Flaunt,Text+Video+Audio
jonah and amy are at each other's throats.,Inform,Text
a teenager bought 144 cans of chafing fuel,Inform,Text
never mind.,Comfort,Text+Video+Audio
"might have everybody a little bit on edge, but i mean, everybody gets that you guys matter. we're Text+Video+Audio good.",Inform,Audio
maybe we should humanize it.,Advise,Text
"there, see, was that so hard?",Complain,Text
"thanks, that's comforting.",Thank,Text
"i, um, can type 100 words per minute.",Flaunt,Text
"what up, dave, is that i asked you hours ago  to assemble the turtle wax endcap, and it's still not done.",Criticize,Text+Video+Audio
"can you back me up here, please?",Ask for help,Text
"hey, maya's here.",Greet,Video
"yeah, i think i'm gonna head to my car",Leave,Text
just tell 'em to take it down and get back to work.,Arrange,Text
"i'm, uh, sorry about the mess.",Apologise,Text
"oh, thank you for watching her.",Thank,Text
"oh, nothing. just having a little thing at my place.",Inform,Text+Video+Audio
"thanks, amy.",Thank,Text
"ah, sand--sandra, i am gonna have you set up the display today.",Arrange,Text
you sure i can't get you a drink?,Care,Text+Video
sorry. Text from dina.,Apologise,Text
have you guys worked things out?,Care,Text
she doesn't want us!,Complain,Text+Audio
you guys should file a complaint with the company.,Advise,Text
"i thought you were, but then they started following me around; they started searching my stuff.",Complain,Text
"anyway, dina i can't go this year",Inform,Video
they looked great.,Praise,Text
"sandra, come on. let's go.",Leave,Text
"hey, sandra, this order just says  pot.",Inform,Text
"hi, uh, i'm brian, by the way. i'm dina's boyfriend.",Introduce,Text
"oh, yeah, definitely.",Agree,Text
we quit telling you weeks ago because you're management.,Taunt,Text+Video+Audio
"my name is dina fox, and my goal here today is",Introduce,Text
"and i thought it would be the same, but it's not!",Complain,Audio
i think i've won her over.,Flaunt,Text
but it's not really your fault.,Comfort,Text
thank you.,Thank,Text
"i thought it was screaming, but i guess i was silent, because you muted me. you took away my voice.",Criticize,Text
i can do impressions too.,Joke,Text+Video+Audio
"who wore it best, and the winner gets...",Inform,Text
"new policy. starting now, there will be absolutely no personal talk on the floor.",Inform,Text
you stole jerry from me.,Criticize,Text
"thank you. you know, kelly",Thank,Text
"we should just send justine home, right?",Advise,Text
"so, look, i think it's great you're out here",Praise,Text
"honestly, reText+Video+Audioy great",Praise,Text
"um, georgia is kind of a legend.",Praise,Text
i'm just gonna hand out shift assignments,Inform,Text
"duh. i'm sorry, mateo.",Apologise,Text
their beauty standers are way lower,Taunt,Text+Video+Audio
"hm. eugene, could you get those boxes off from the top shelf, and take them to the back?",Ask for help,Text+Video+Audio
the colors are packaged so you know they go together.,Introduce,Text+Video+Audio
"yeah, yeah, you're right. you're right.",Agree,Text
this sucks.,Complain,Text
their tablets barely hold a charge.,Complain,Text
great. awesome.,Praise,Text
"so starting now, if anybody buys one of these without a warning and they die, we're liable.",Inform,Text
okay.,Agree,Text
that long. what have you been up to?,Care,Text
is everything okay?,Care,Text
"it's fine, i'm just gonna put on my sweet and innocent voice, and bam, they won't even know what they're confessing to.",Flaunt,Text+Video+Audio
how's the peeing going?,Care,Text
"oh, that is wonderful.",Praise,Text
"uh, i'm sorry.",Apologise,Text
but i think it might be easier if you just wrote it down.,Advise,Text
"kaluiokalani sounds made-up. anyway, just tell him i'm dead.",Arrange,Text+Video+Audio
why can't i just delete the registry?,Complain,Audio
"i'm sorry, marcus.",Apologise,Text
"huh, you know, that's a good point.",Praise,Text+Audio
All you have to do today is hand out these nifty care packages to the holloway house women's shelter,Arrange,Text
"honestly, you're- you're really beautiful.",Praise,Text
i did. i did. i blew it.,Complain,Text
you don't need to. no.,Oppose,Audio
garrett's like a really nice guy and funny and cute.,Praise,Text
the governor shut down all indoor dining.,Inform,Text
"good morning, store 1217.",Inform,Text
"excuse me, do you know anything about drills?",Ask for help,Text
"okay, anyway, i need to get a head count so i know who's coming.",Inform,Video
"hey, so i just wanted to apologize",Apologise,Text
"not a refugee, like you. knock on wood.",Taunt,Text+Video
she threw a mustard jar at me. it left a bruise... on my thigh.,Complain,Text
and we thought of you,Inform,Text+Video+Audio
beautiful.,Praise,Text
both jonah and cheyenne wanna be floor supervisor.,Inform,Text
but i thought we'd make a list of the other issues corporate needs to address.,Advise,Text
this is a map of the night stars over st. louis where we met.,Introduce,Text
i don't think that's what i said at all.,Oppose,Text
she's a real grumplestiltskin.,Criticize,Text+Video+Audio
"hey, garrett.",Greet,Text
"okay, let's start by hearing everybody's work experience.",Inform,Text
"i guess it's defective, just like the two of you!",Criticize,Text
just say that you were with bo all night last thursday.,Arrange,Text+Video+Audio
you look good and you better get your prize,Praise,Text+Audio
it was a...anniversary present for my wife,Introduce,Text+Video+Audio
"two babies enter, one baby leaves.",Inform,Text
"ah mateo, that's awesome!",Praise,Text
"ladies, this is the embalming conference.",Introduce,Text+Video+Audio
"yours was just, like, attitude, which is fine.",Comfort,Text+Video+Audio
we've got a really exciting covid announcement.,Inform,Text
if you could just put all the raw footage on there.,Arrange,Text
they don't even have to pay for their aroma-therapy diffusers. how is that fair?,Complain,Text
it's not that bad.,Comfort,Audio
"okay, fine, whatever. let's just go.",Leave,Text
"girl, don't be so hard up on yourself, okay? i'm sure it's not nearly as bad as you--.",Comfort,Text
"thank you, glenn.",Thank,Text
she was great. and funny.,Praise,Text
"you first, justine.",Arrange,Text
"he's in a handball league, he had a deaf girlfriend",Introduce,Text+Audio
"well, i mean, you almost made me kill your cat.",Complain,Audio
i'm gonna pass out the tomatoes.,Leave,Text
that squeaks. that's what squirrels do.,Introduce,Text
this is too much pressure.,Complain,Text
"and actually,maybe you could talk to him about sex and stuff.",Advise,Text
"well, amy is at the eye doctor.",Inform,Text
i gotta go tag in.,Leave,Text
you just throw it in a cart like a sack of margarine.,Criticize,Text+Video+Audio
nobody's getting fired. get out of your head.,Comfort,Text+Video+Audio
"stop, please.",Prevent,Text
that's good advice.,Praise,Text
i know you're lying!,Criticize,Text
and i was wondering if maybe you'd be willing to write a letter of recommendation,Ask for help,Text+Video+Audio
"sorry. i'm so sorry, judy.",Apologise,Text
cease fire! cease fire!,Prevent,Text+Video+Audio
this is a very good plan.,Praise,Text
"no, you don't get a gift card for every stupid little army man.",Oppose,Text+Video+Audio
"these people, they're evil.",Criticize,Text
and crestwood came around... hey!,Greet,Text+Video+Audio
i once ate a pencil 'cause i thought it was chocolate.,Joke,Text+Video+Audio
you're hurt.,Care,Text
"actuText+Video+Audioy, i reText+Video+Audioy need to get out.",Leave,Text
"yeah, they're jordan 11 retro concords.",Introduce,Text
"sandra's sister is useless, and jerry's family members",Complain,Video
it's homemade.,Introduce,Text
i just wanted to apologize for earlier.,Apologise,Text
thanks.,Thank,Text
"see, look at my dress. it's spotless.",Flaunt,Text+Video+Audio
"no, you're right. you're right.",Agree,Text
i'm like a sitting duck in customer service. you have any idea how wet-lipped,Complain,Text
"just a heads up, you might be getting a call",Inform,Text+Video+Audio
"right, yes, yeah, yeah. that's a good- that's a good point.",Praise,Audio+Video
"okay, i gotta get going.",Leave,Text
"yes, definitely.",Agree,Text
"i wanna be puma, raised in the jungles of peru",Joke,Text
"so you either interview amy,or i file a 31-j with kyle robichot.",Inform,Video
"yup, that was pretty cool of corporate to fix it.",Praise,Text
zephra finText+Video+Audioy sent over the safety protocols.,Inform,Text
thanks.,Thank,Text
"but properly distanced, so don't move your chairs.",Inform,Text
i appreciate that you bought american!,Thank,Text
what happened with amy?,Care,Text
"that is a good point, dina.",Praise,Text
quick covid safety reminder:,Inform,Text
"this is great, this is healthy, this is--this is--",Praise,Text
"or girlfriend, what does she think about Text+Video+Audio your birds?",Care,Text+Video+Audio
"but, uh, we got some more partying to do, folks.",Inform,Text
"oh, wow. i look like a hot, glowing stanley tucci.",Joke,Text
make a reservation at ramona's.,Arrange,Text
thanks for filling in.,Thank,Text
"oh, yeah.",Agree,Text
not a problem for me.,Flaunt,Text+Video+Audio
"oh, hey, amy.",Greet,Text
it's the parents you want to impress,Advise,Text+Video+Audio
you gotta show her these before you dump her.,Advise,Audio
"no, you know what? uh, everything's not Text+Video+Audio right.",Complain,Video
"uh, sandra, can you take the lead on that?",Arrange,Audio
hText+Video+Audiooween surfboard.  it's just stupid!,Complain,Text
"you did? aww, thanks, garrett.",Thank,Text
"maybe dina shouldn't have brought her loud, dirty birds into work.",Criticize,Text+Video+Audio
"no, no, jurgen steals Text+Video+Audio my jobs.",Complain,Video
"okay, bo, stop. Text+Video+Audio right?",Prevent,Text
hey! i got you a little congratulations gift,Inform,Text
"um--oh, yeah, she is great.",Praise,Text
"okay, so, uh, st. patrick's day. right.",Inform,Text
"we're--we're not here for the crumbs, you know?",Complain,Audio
"dina, you're gonna be fine.",Comfort,Text
"oh, my god, you're cheating.",Criticize,Text
that's what i thought.,Agree,Text
"so if you see him, cText+Video+Audio me on the walkie immediately.",Arrange,Text
i think it's great that we're trying,Praise,Text
"amy, it's fine. it's just a cText+Video+Audio.",Comfort,Text
"yeah, you played that very cool, by the way.",Praise,Text
"what? no, i didn't take any packages.",Oppose,Text
"whoa, whoa, whoa, whoa, whoa. we don't need to do that, okay?",Prevent,Text
"uh, so what was it?",Care,Text
"just letting you know, i want a divorce.",Inform,Text
"hi amy, it's me.",Greet,Text+Video+Audio
how's it going in there?,Advise,Video
it is. it is a nice parking lot.,Praise,Text
margo's my girlfriend.,Introduce,Text
it's worth a try.,Advise,Video
"oh, hey, excuse me, man. is this place open?",Ask for help,Text+Video+Audio
"uh, don't eat the baby food. the baby food is bad.",Prevent,Text
can you just help me figure out how to play this?,Ask for help,Text
"protect your future, chica. you could be going places.",Advise,Text
"no, girl. you won.",Praise,Video
i was actuText+Video+Audioy pretty upset about it. i stewed outside for hours.,Complain,Text
"look, i don't understand why everybody wants to talk everything to death. to talk everything to death.",Complain,Text
"oh, excuse me, sir- can i get this in a--",Ask for help,Text+Video
you're right.,Agree,Text
that- that i need until end of day!,Leave,Text+Video+Audio
i have slept 90 minutes in three days.,Complain,Text
your total is $23.87.,Inform,Text
then i need you to go clean the men's washroom.,Arrange,Text
oh! amy.,Greet,Text
why don't we pick out items for each other?,Advise,Text
cheyenne was right. i'm a screwup.,Complain,Text
"well, we don't Text+Video+Audioow street performers out here",Inform,Text
"sorry, this is where we're storing",Apologise,Text
you should never joke about bombs.,Criticize,Text
thanks for stopping by.,Thank,Text
they ride us till we drop and then immediately sell our ass meat.,Complain,Text+Audio
we raised the wage!,Inform,Text
that's state-of-the-art wireless vr.,Introduce,Text
he's obviously toxic american masculinity.,Taunt,Text+Video+Audio
but lady is on my last nerve today.,Complain,Audio
"so you may have heard about the new ownership, but we're still cloud 9",Inform,Text
"yeah, browsing's for cowards, dude!",Taunt,Text+Audio
"or--or--or put them in, like, a science lab, you know?",Advise,Text
"i mean, i applaud you for trying",Praise,Text+Video
"oh, nice to have you, man.",Greet,Text
no one moved product like me back at sturgis & sons.,Flaunt,Text+Video+Audio
we'll consider that. thank you.,Thank,Text
dan wants to put in a  famous glasses in history  display.,Inform,Text+Video+Audio
"wait, there's one more i want you to try.",Introduce,Text+Video+Audio
i want to make you a manager.,Inform,Text+Video+Audio
i've heard it five times.,Complain,Audio
maybe he's afraid of heights. put him on the floor.,Advise,Text
"yeah, okay. all right, look.",Agree,Text+Audio
this isn't even a break. this is just... unofficial break room time.,Complain,Audio
"oh, yeah, sure.",Agree,Text
"and terrence, you stole $40 billion",Criticize,Text
"yeah, i haven't sold, like, anything today.",Inform,Video
the--the case is closed. you can't reopen the case.,Prevent,Text
"why? glenn, what were you thinking?",Criticize,Text+Video+Audio
tony!,Greet,Text
"it's just, it feels silly for me to be giving a speech",Complain,Text
you've got like a- like a post-pregnancy glow.,Praise,Text+Audio
her hair looks like spaghetti that's been left in the pot.,Taunt,Audio+Video
you stay right here.,Arrange,Text
and you're reText+Video+Audioy good at holding things.,Praise,Text
i'm sorry. i tried.,Apologise,Text
"i'm sorry, cheyenne. gecko lady's weirder.",Apologise,Text
we should be talking about actual issues.,Advise,Text
you don't have to be embarrassed.,Comfort,Text
the worst part about this is that colleen wins again.,Complain,Text
i really hate her.,Complain,Text
"i budgeted six shrimp per person, so go to town.",Inform,Audio
where's my order? i need that washing machine.,Ask for help,Text
"sorry, buddy. not you. you look totally normal.",Apologise,Text
but you are gonna be fine.,Comfort,Text
"i order three jars of pumpkin spice salsa an hour ago, and i've been waiting in my car.",Complain,Text+Audio
"not today. look, i'm sorry about amy too.",Apologise,Text
and the sound quality's full  garbagio.,Complain,Text+Video+Audio
i have to fix it before maya sees.,Leave,Text
"glenn, apologize to the car i dented.",Arrange,Text+Video
are you okay?,Care,Text
garrett can do anything.,Taunt,Text+Video+Audio
i was the best salesperson in the store.,Flaunt,Text
this isn't the company i signed up to work for after they drove my family hardware store out of business.,Complain,Video
"eric, i told you, you can't just let anybody into my house.",Criticize,Text+Video+Audio
he brings that up a lot. i'm sorry.,Apologise,Text
everything all right?,Care,Text
"sorry, just a little nervous.",Apologise,Text
"hey, they still have some!",Inform,Text
"i work here 16 to 19 hours a day, so i'm missing a lot of time with her.",Complain,Text
he's lying right now because he stole the stuff.,Criticize,Text
i'm pretty good at hiding things.,Flaunt,Text+Audio
my husband's being such a b-munch right now.,Complain,Text
"okay, bye.",Leave,Text
"no, no, no, janet, don't hang up.",Prevent,Text
"attention cloud 9 shoppers and employees. i, uh--i just wanted to take this moment",Inform,Text
"yeah, it's nice.",Praise,Text
they're not really known for their customer service.,Complain,Text
"well, then let's all stop annoying each other",Prevent,Text+Video+Audio
that i actually ended up suppressing votes?,Flaunt,Text+Video+Audio
"it's not cool, it's not funny, and it's starting to make people uncomfortable.",Complain,Text
thank you.,Thank,Text
i'm doing this new curbside thing.,Inform,Text
"well, i really need ice cream cones.",Ask for help,Text+Video+Audio
"you know, it might be nice for parker to get some",Advise,Text
good. are you sick?,Care,Text
the reason i'm asking is we don't accept your insurance.,Inform,Text
i've got an idea. fire her ass.,Advise,Text
"hey, so what's the latest with operation",Care,Text
"oh, that's really great.",Praise,Text
ugh. what a waste of money.,Complain,Text
you're satan workers!,Taunt,Text+Video+Audio
"cindy, i'm gonna do that right now.",Leave,Text
"and unfortunately, it is supposed to rain.",Complain,Audio
it makes about as much sense,Inform,Video
i'm just gonna be a good old-fashioned cowboy.,Joke,Text+Video+Audio
he's just a wuss who's still afraid of his parents.,Taunt,Text
wow. cool shirts.,Praise,Text
sorry i'm late. sorry.,Apologise,Text
is how a man manages to make it to 60 without hitting puberty.,Taunt,Text+Video+Audio
"anyway, thank you for coming and talking to me.",Thank,Text
"like, you need to communicate better.",Advise,Text
"love the socks, by the way. so thoughtful.",Praise,Text
"no, no, no, it's called multi-level marketing.",Oppose,Text+Video+Audio
this display's my masterpiece right here.,Introduce,Text+Video+Audio
"how am i supposed to find $27,000 worth of stuff to repair in one day? there's just not that much stuff that's broken!",Complain,Text
"yeah, it just takes practice.",Comfort,Text+Video+Audio
that was- good breakthrough.,Praise,Text
this is great!,Praise,Text
"hey, you've got a thing coming up.",Inform,Text
"amy, us men of the store are tired of taking orders from a woman.",Complain,Text
"sandra, you have to stop.",Prevent,Text
"i mean, i do kind of have to go.",Leave,Text
"oh, okay, well, yeah. don't--do not give him that.",Prevent,Text
"guys, i sent carol to lunch so that we could talk about",Inform,Text
"i'm sorry, garrett",Apologise,Text
your fault because the two of you don't know,Criticize,Text
